description,industry,level,size,line_code,value
Awareness of climate change: Very aware,"Rental, hiring, & real estate services",1,total,C0300.01,387
Awareness of climate change: Very aware,"Professional, scientific, & technical services",1,total,C0300.01,1992
Awareness of climate change: Very aware,Computer systems design,2,total,C0300.01,408
Awareness of climate change: Very aware,Other professional scientific,2,total,C0300.01,1587
Awareness of climate change: Very aware,Administrative & support services,1,total,C0300.01,762
Awareness of climate change: Very aware,Education & training,1,total,C0300.01,423
Awareness of climate change: Very aware,Health care & social assistance,1,total,C0300.01,879
Awareness of climate change: Very aware,Arts & recreation services,1,total,C0300.01,198
Awareness of climate change: Very aware,Other services,1,total,C0300.01,555
Awareness of climate change: Very aware,total,0,total,C0300.01,18540
Awareness of climate change: Somewhat aware,total,0,6–19 employees,C0300.02,15810
Awareness of climate change: Somewhat aware,total,0,20–49 employees,C0300.02,3732
Awareness of climate change: Somewhat aware,total,0,50–99 employees,C0300.02,1089
Awareness of climate change: Somewhat aware,total,0,100+ employees,C0300.02,786
Awareness of climate change: Somewhat aware,"Agriculture, forestry, & fishing",1,total,C0300.02,1269
Awareness of climate change: Somewhat aware,Agriculture,2,total,C0300.02,735
Awareness of climate change: Somewhat aware,Commercial fishing,2,total,C0300.02,21
Awareness of climate change: Somewhat aware,Forestry & logging,2,total,C0300.02,126
Awareness of climate change: Somewhat aware,"Agriculture, forestry, & fishing support services",2,total,C0300.02,387
Awareness of climate change: Somewhat aware,Mining,1,total,C0300.02,33
Awareness of climate change: Somewhat aware,Manufacturing,1,total,C0300.02,2586
Awareness of climate change: Somewhat aware,"Food, beverage, & tobacco",2,total,C0300.02,459
Awareness of climate change: Somewhat aware,"Textile, clothing, footwear, & leather",2,total,C0300.02,129
Awareness of climate change: Somewhat aware,Wood & paper product,2,total,C0300.02,294
Awareness of climate change: Somewhat aware,"Printing, publishing, & recorded media",2,total,C0300.02,102
Awareness of climate change: Somewhat aware,"Petroleum, coal, chemical, & associated product",2,total,C0300.02,204
Awareness of climate change: Somewhat aware,Non-metallic mineral product,2,total,C0300.02,90
Awareness of climate change: Somewhat aware,Metal product,2,total,C0300.02,588
Awareness of climate change: Somewhat aware,Transport and industrial machinery & equipment,2,total,C0300.02,456
Awareness of climate change: Somewhat aware,Other machinery & equipment,2,total,C0300.02,105
Awareness of climate change: Somewhat aware,Other manufacturing,2,total,C0300.02,159
Awareness of climate change: Somewhat aware,"Electricity, gas, water, & waste services",1,total,C0300.02,66
Awareness of climate change: Somewhat aware,Construction,1,total,C0300.02,2955
Awareness of climate change: Somewhat aware,Wholesale trade,1,total,C0300.02,1491
Awareness of climate change: Somewhat aware,Machinery & equipment wholesaling,2,total,C0300.02,609
Awareness of climate change: Somewhat aware,Other wholesale trade,2,total,C0300.02,879
Awareness of climate change: Somewhat aware,Retail trade,1,total,C0300.02,2145
Awareness of climate change: Somewhat aware,Accommodation & food services,1,total,C0300.02,3129
Awareness of climate change: Somewhat aware,"Transport, postal, & warehousing",1,total,C0300.02,921
Awareness of climate change: Somewhat aware,Information media & telecommunications,1,total,C0300.02,183
Awareness of climate change: Somewhat aware,Publishing,2,total,C0300.02,72
Awareness of climate change: Somewhat aware,Motion picture,2,total,C0300.02,51
Awareness of climate change: Somewhat aware,Telecommunications,2,total,C0300.02,57
Awareness of climate change: Somewhat aware,Financial & insurance services,1,total,C0300.02,246
Awareness of climate change: Somewhat aware,Finance,2,total,C0300.02,90
Awareness of climate change: Somewhat aware,Insurance,2,total,C0300.02,18
Awareness of climate change: Somewhat aware,Auxiliary,2,total,C0300.02,141
Awareness of climate change: Somewhat aware,"Rental, hiring, & real estate services",1,total,C0300.02,423
Awareness of climate change: Somewhat aware,"Professional, scientific, & technical services",1,total,C0300.02,2250
Awareness of climate change: Somewhat aware,Computer systems design,2,total,C0300.02,423
Awareness of climate change: Somewhat aware,Other professional scientific,2,total,C0300.02,1833
Awareness of climate change: Somewhat aware,Administrative & support services,1,total,C0300.02,804
Awareness of climate change: Somewhat aware,Education & training,1,total,C0300.02,513
Awareness of climate change: Somewhat aware,Health care & social assistance,1,total,C0300.02,1485
Awareness of climate change: Somewhat aware,Arts & recreation services,1,total,C0300.02,231
Awareness of climate change: Somewhat aware,Other services,1,total,C0300.02,678
Awareness of climate change: Somewhat aware,total,0,total,C0300.02,21417
Awareness of climate change: Not aware,total,0,6–19 employees,C0300.03,2955
Awareness of climate change: Not aware,total,0,20–49 employees,C0300.03,519
Awareness of climate change: Not aware,total,0,50–99 employees,C0300.03,105
Awareness of climate change: Not aware,total,0,100+ employees,C0300.03,42
Awareness of climate change: Not aware,"Agriculture, forestry, & fishing",1,total,C0300.03,54
Awareness of climate change: Not aware,Agriculture,2,total,C0300.03,24
Awareness of climate change: Not aware,Commercial fishing,2,total,C0300.03,0
Awareness of climate change: Not aware,Forestry & logging,2,total,C0300.03,12
Awareness of climate change: Not aware,"Agriculture, forestry, & fishing support services",2,total,C0300.03,18
Awareness of climate change: Not aware,Mining,1,total,C0300.03,3
Awareness of climate change: Not aware,Manufacturing,1,total,C0300.03,336
Awareness of climate change: Not aware,"Food, beverage, & tobacco",2,total,C0300.03,54
Awareness of climate change: Not aware,"Textile, clothing, footwear, & leather",2,total,C0300.03,9
Awareness of climate change: Not aware,Wood & paper product,2,total,C0300.03,42
Awareness of climate change: Not aware,"Printing, publishing, & recorded media",2,total,C0300.03,21
Awareness of climate change: Not aware,"Petroleum, coal, chemical, & associated product",2,total,C0300.03,33
Awareness of climate change: Not aware,Non-metallic mineral product,2,total,C0300.03,12
Awareness of climate change: Not aware,Metal product,2,total,C0300.03,66
Awareness of climate change: Not aware,Transport and industrial machinery & equipment,2,total,C0300.03,39
Awareness of climate change: Not aware,Other machinery & equipment,2,total,C0300.03,15
Awareness of climate change: Not aware,Other manufacturing,2,total,C0300.03,42
Awareness of climate change: Not aware,"Electricity, gas, water, & waste services",1,total,C0300.03,6
Awareness of climate change: Not aware,Construction,1,total,C0300.03,600
Awareness of climate change: Not aware,Wholesale trade,1,total,C0300.03,162
Awareness of climate change: Not aware,Machinery & equipment wholesaling,2,total,C0300.03,30
Awareness of climate change: Not aware,Other wholesale trade,2,total,C0300.03,129
Awareness of climate change: Not aware,Retail trade,1,total,C0300.03,456
Awareness of climate change: Not aware,Accommodation & food services,1,total,C0300.03,960
Awareness of climate change: Not aware,"Transport, postal, & warehousing",1,total,C0300.03,99
Awareness of climate change: Not aware,Information media & telecommunications,1,total,C0300.03,42
Awareness of climate change: Not aware,Publishing,2,total,C0300.03,12
Awareness of climate change: Not aware,Motion picture,2,total,C0300.03,18
Awareness of climate change: Not aware,Telecommunications,2,total,C0300.03,9
Awareness of climate change: Not aware,Financial & insurance services,1,total,C0300.03,30
Awareness of climate change: Not aware,Finance,2,total,C0300.03,6
Awareness of climate change: Not aware,Insurance,2,total,C0300.03,3
Awareness of climate change: Not aware,Auxiliary,2,total,C0300.03,24
Awareness of climate change: Not aware,"Rental, hiring, & real estate services",1,total,C0300.03,75
Awareness of climate change: Not aware,"Professional, scientific, & technical services",1,total,C0300.03,348
Awareness of climate change: Not aware,Computer systems design,2,total,C0300.03,72
Awareness of climate change: Not aware,Other professional scientific,2,total,C0300.03,276
Awareness of climate change: Not aware,Administrative & support services,1,total,C0300.03,90
Awareness of climate change: Not aware,Education & training,1,total,C0300.03,66
Awareness of climate change: Not aware,Health care & social assistance,1,total,C0300.03,213
Awareness of climate change: Not aware,Arts & recreation services,1,total,C0300.03,42
Awareness of climate change: Not aware,Other services,1,total,C0300.03,42
Awareness of climate change: Not aware,total,0,total,C0300.03,3624
Awareness of climate change: Don't know,total,0,6–19 employees,C0300.04,3156
Awareness of climate change: Don't know,total,0,20–49 employees,C0300.04,531
Awareness of climate change: Don't know,total,0,50–99 employees,C0300.04,108
Awareness of climate change: Don't know,total,0,100+ employees,C0300.04,63
Awareness of climate change: Don't know,"Agriculture, forestry, & fishing",1,total,C0300.04,192
Awareness of climate change: Don't know,Agriculture,2,total,C0300.04,108
Awareness of climate change: Don't know,Commercial fishing,2,total,C0300.04,3
Awareness of climate change: Don't know,Forestry & logging,2,total,C0300.04,6
Awareness of climate change: Don't know,"Agriculture, forestry, & fishing support services",2,total,C0300.04,75
Awareness of climate change: Don't know,Mining,1,total,C0300.04,6
Awareness of climate change: Don't know,Manufacturing,1,total,C0300.04,531
Awareness of climate change: Don't know,"Food, beverage, & tobacco",2,total,C0300.04,108
Awareness of climate change: Don't know,"Textile, clothing, footwear, & leather",2,total,C0300.04,27
Awareness of climate change: Don't know,Wood & paper product,2,total,C0300.04,45
Awareness of climate change: Don't know,"Printing, publishing, & recorded media",2,total,C0300.04,33
Awareness of climate change: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C0300.04,27
Awareness of climate change: Don't know,Non-metallic mineral product,2,total,C0300.04,9
Awareness of climate change: Don't know,Metal product,2,total,C0300.04,84
Awareness of climate change: Don't know,Transport and industrial machinery & equipment,2,total,C0300.04,129
Awareness of climate change: Don't know,Other machinery & equipment,2,total,C0300.04,12
Awareness of climate change: Don't know,Other manufacturing,2,total,C0300.04,60
Awareness of climate change: Don't know,"Electricity, gas, water, & waste services",1,total,C0300.04,12
Awareness of climate change: Don't know,Construction,1,total,C0300.04,450
Awareness of climate change: Don't know,Wholesale trade,1,total,C0300.04,276
Awareness of climate change: Don't know,Machinery & equipment wholesaling,2,total,C0300.04,63
Awareness of climate change: Don't know,Other wholesale trade,2,total,C0300.04,213
Awareness of climate change: Don't know,Retail trade,1,total,C0300.04,471
Awareness of climate change: Don't know,Accommodation & food services,1,total,C0300.04,759
Awareness of climate change: Don't know,"Transport, postal, & warehousing",1,total,C0300.04,48
Awareness of climate change: Don't know,Information media & telecommunications,1,total,C0300.04,9
Awareness of climate change: Don't know,Publishing,2,total,C0300.04,0
Awareness of climate change: Don't know,Motion picture,2,total,C0300.04,6
Awareness of climate change: Don't know,Telecommunications,2,total,C0300.04,3
Awareness of climate change: Don't know,Financial & insurance services,1,total,C0300.04,45
Awareness of climate change: Don't know,Finance,2,total,C0300.04,12
Awareness of climate change: Don't know,Insurance,2,total,C0300.04,0
Awareness of climate change: Don't know,Auxiliary,2,total,C0300.04,33
Awareness of climate change: Don't know,"Rental, hiring, & real estate services",1,total,C0300.04,150
